Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
143,2,180,2,0,180,ftp_data,SF,tcp,2,2,150,0.17,0.03,0,0
68,2,684,2,0,684,other,SF,udp,13,1,255,0,0.6,0,0
0,1,60,1,0,60,private,S0,tcp,123,6,255,0.1,0.05,0,1
54949,10,628,4,6,248,http,SF,tcp,5,5,30,1,0,8153,0
54943,8,496,4,4,248,http,SF,tcp,30,32,255,1,0,420,0
54942,8,496,4,4,248,private,REJ,tcp,121,19,255,0.07,0.07,0,1
54945,8,496,4,4,248,private,S0,tcp,166,9,255,0.04,0.05,0,1
54944,8,496,4,4,248,private,S0,tcp,117,16,255,0.06,0.07,0,1
54946,8,496,4,4,248,remote_job,S0,tcp,270,23,255,0.09,0.05,0,1
54948,8,496,4,4,248,private,S0,tcp,133,8,255,0.05,0.06,0,1
54947,8,496,4,4,248,private,REJ,tcp,205,12,255,0.05,0.07,0,1
54950,20,1276,10,10,644,private,S0,tcp,199,3,255,0.05,0.07,0,1
54953,20,1276,10,10,644,http,SF,tcp,3,7,8,1,0,2251,0
54951,20,1276,10,10,644,ftp_data,SF,tcp,2,2,2,1,0,0,1
54952,20,1276,10,10,644,name,S0,tcp,233,1,255,0,0.07,0,1
54955,20,1276,10,10,644,netbios_ns,S0,tcp,96,16,255,0.01,0.06,0,1
54954,20,1276,10,10,644,http,SF,tcp,8,9,91,1,0,13788,0
54956,20,1276,10,10,644,eco_i,SF,icmp,1,1,1,1,0,0,1
54957,20,1276,10,10,644,http,SF,tcp,3,3,66,1,0,616,0
1740,352,90736,202,150,65536,http,SF,tcp,9,10,157,1,0,1178,0
54958,18,1152,10,8,644,mtp,S0,tcp,223,23,255,0.09,0.05,0,1
54959,20,1276,10,10,644,private,S0,tcp,280,17,238,0.07,0.06,0,1
54960,20,1276,10,10,644,http,SF,tcp,8,10,87,1,0,11905,0
54961,20,1276,10,10,644,other,SF,udp,1,1,255,0,0.85,105,0
54963,20,1276,10,10,644,mtp,S0,tcp,248,2,255,0.01,0.06,0,1
54962,20,1276,10,10,644,telnet,SF,tcp,1,1,255,0.1,0.05,14421,0
54965,20,1276,10,10,644,private,S0,tcp,279,7,255,0.05,0.07,0,1
54964,20,1276,10,10,644,http,SF,tcp,5,22,43,1,0,6588,0
135,1,78,1,0,78,http,SF,tcp,14,14,255,1,0,10499,0
137,10,940,10,0,940,http,SF,tcp,33,33,255,1,0,1400,0
54966,18,1152,10,8,644,eco_i,SF,icmp,1,12,1,1,0,0,1
54969,18,1152,10,8,644,finger,S0,tcp,57,16,255,0.23,0.04,0,1
54968,18,1152,10,8,644,http,SF,tcp,9,9,9,1,0,555,0
54967,18,1152,10,8,644,private,REJ,tcp,2,1,255,0,0.31,0,1
54970,18,1152,10,8,644,domain_u,SF,udp,181,181,255,0.98,0.01,45,0
54971,18,1152,10,8,644,private,SF,udp,2,2,41,0.12,0.05,147,0
54972,18,1152,10,8,644,domain_u,SF,udp,122,202,255,1,0,43,0
54973,18,1152,10,8,644,supdup,S0,tcp,205,17,255,0.07,0.07,0,1
54978,20,1276,10,10,644,http,SF,tcp,22,28,255,1,0,2302,0
54975,20,1276,10,10,644,uucp_path,S0,tcp,228,13,255,0.05,0.07,0,1
54976,20,1276,10,10,644,ftp_data,S0,tcp,50,11,255,0.25,0.02,0,1
54974,20,1276,10,10,644,Z39_50,S0,tcp,262,12,255,0.04,0.07,0,1
54977,20,1276,10,10,644,smtp,SF,tcp,1,2,181,0.81,0.02,372,0
54979,20,1276,10,10,644,other,SF,udp,4,2,255,0.01,0.66,105,0
54980,20,1276,10,10,644,http,SF,tcp,11,11,255,1,0,3006,0
54981,20,1276,10,10,644,csnet_ns,S0,tcp,108,11,255,0.04,0.07,0,1
54982,18,1152,10,8,644,private,SF,udp,80,80,255,0.31,0.02,0,1
54984,18,1152,10,8,644,http,SF,tcp,44,44,255,1,0,861,0
54983,18,1152,10,8,644,ftp_data,SF,tcp,2,2,4,1,0,0,1
54985,18,1152,10,8,644,ftp_data,S0,tcp,258,17,255,0.02,0.07,0,1
54986,18,1152,10,8,644,http,SF,tcp,10,10,131,1,0,498,0
54987,18,1152,10,8,644,private,REJ,tcp,61,4,255,0.02,0.08,0,1
54988,18,1152,10,8,644,private,SF,udp,2,2,255,0.01,0.02,0,1
54989,18,1152,10,8,644,http,SF,tcp,26,42,26,1,0,1398,0
54990,20,1276,10,10,644,domain_u,SF,udp,120,120,255,0.96,0.01,69,0
54992,20,1276,10,10,644,domain_u,SF,udp,73,75,122,0.88,0.02,133,0
54991,20,1276,10,10,644,eco_i,SF,icmp,1,15,2,1,0,0,1
54993,20,1276,10,10,644,uucp,S0,tcp,135,9,255,0.04,0.07,0,1
54994,20,1276,10,10,644,finger,S0,tcp,24,12,255,0.23,0.04,0,1
54995,20,1276,10,10,644,domain_u,SF,udp,148,228,255,1,0,43,0
54996,20,1276,10,10,644,ftp_data,SF,tcp,2,2,175,0.25,0.02,0,0
54997,20,1276,10,10,644,private,REJ,tcp,206,4,255,0.02,0.08,0,1
54999,18,1152,10,8,644,private,REJ,tcp,175,1,255,0,0.84,0,1
55000,18,1152,10,8,644,http,SF,tcp,4,4,255,1,0,2794,0
54998,18,1152,10,8,644,private,REJ,tcp,63,10,255,0.04,0.07,0,1
55001,18,1152,10,8,644,smtp,SF,tcp,1,1,109,0.39,0.04,333,0
55002,18,1152,10,8,644,netbios_dgm,RSTR,tcp,1,1,236,0,0.58,0,1
55003,18,1152,10,8,644,http,S0,tcp,52,19,255,0.26,0.02,0,1
55004,18,1152,10,8,644,netbios_dgm,REJ,tcp,125,7,255,0.02,0.07,0,1
55005,18,1152,10,8,644,supdup,S0,tcp,168,21,255,0.08,0.06,0,1
55007,20,1276,10,10,644,http,SF,tcp,1,1,21,1,0,2878,0
55009,20,1276,10,10,644,private,S0,tcp,145,16,255,0.12,0.05,0,1
55006,20,1276,10,10,644,urp_i,SF,icmp,3,2,255,0.36,0.01,0,0
55008,20,1276,10,10,644,domain_u,SF,udp,9,14,84,0.99,0.02,42,0
55010,20,1276,10,10,644,private,S0,tcp,138,6,255,0.02,0.07,0,1
55011,20,1276,10,10,644,ftp_data,SF,tcp,1,1,44,0.55,0.07,0,0
55012,20,1276,10,10,644,auth,S0,tcp,276,9,255,0.04,0.06,0,1
55013,20,1276,10,10,644,http,SF,tcp,10,27,48,1,0,2790,0
55014,18,1152,10,8,644,http,SF,tcp,10,10,168,1,0,5683,0
55015,18,1152,10,8,644,private,REJ,tcp,248,8,255,0.03,0.07,0,1
55016,18,1152,10,8,644,http,SF,tcp,2,31,24,1,0,3982,0
55017,18,1152,10,8,644,uucp_path,REJ,tcp,135,7,255,0.03,0.07,0,1
55018,18,1152,10,8,644,domain,S0,tcp,220,19,255,0.01,0.07,0,1
55020,18,1152,10,8,644,eco_i,SF,icmp,1,44,1,1,0,0,1
55019,18,1152,10,8,644,http,SF,tcp,9,9,123,1,0,379,0
55021,18,1152,10,8,644,private,S0,tcp,212,7,72,0.1,0.11,0,1
55025,20,1276,10,10,644,http,SF,tcp,10,10,255,1,0,3762,0
55023,20,1276,10,10,644,ftp,S0,tcp,250,13,255,0,0.07,0,1
55022,20,1276,10,10,644,private,REJ,tcp,132,15,255,0.06,0.06,0,1
55024,20,1276,10,10,644,other,SF,udp,3,2,117,0.02,0.54,105,0
55027,20,1276,10,10,644,http,SF,tcp,11,11,156,1,0,1416,0
55026,20,1276,10,10,644,http,SF,tcp,3,9,255,1,0,1483,0
55029,20,1276,10,10,644,domain_u,SF,udp,109,189,255,1,0.01,44,0
55028,20,1276,10,10,644,private,REJ,tcp,146,18,255,0.04,0.08,0,1
55031,18,1152,10,8,644,csnet_ns,S0,tcp,300,6,255,0.01,0.07,0,1
55030,18,1152,10,8,644,smtp,SF,tcp,1,2,243,0.48,0.02,331,0
55032,18,1152,10,8,644,other,SF,udp,1,1,7,0.14,0.29,102,0
55033,18,1152,10,8,644,http,SF,tcp,4,5,4,1,0,750,0
55035,18,1152,10,8,644,other,SF,udp,2,2,255,0.01,0.42,105,0
55034,18,1152,10,8,644,private,S0,tcp,129,16,255,0.05,0.05,0,1
55036,18,1152,10,8,644,http,SF,tcp,32,32,255,1,0,354,0
55037,18,1152,10,8,644,http,SF,tcp,1,1,66,1,0,306,0
55041,20,1276,10,10,644,http,REJ,tcp,1,2,1,1,0,0,0
55039,20,1276,10,10,644,http,SF,tcp,3,3,153,1,0,7227,0
55040,20,1276,10,10,644,private,SF,udp,82,82,255,0.71,0.29,0,1
55038,20,1276,10,10,644,http,SF,tcp,1,1,43,1,0,761,0
55042,20,1276,10,10,644,http,SF,tcp,15,15,242,1,0,1212,0
